x/c,y/c
1.00E+00,0.00E+00
9.90E-01,2.39E-03
9.74E-01,5.98E-03
9.58E-01,9.58E-03
9.41E-01,1.31E-02
9.24E-01,1.66E-02
9.07E-01,1.98E-02
8.90E-01,2.30E-02
8.73E-01,2.61E-02
8.56E-01,2.92E-02
8.39E-01,3.22E-02
8.23E-01,3.51E-02
8.06E-01,3.79E-02
7.89E-01,4.06E-02
7.72E-01,4.31E-02
7.55E-01,4.53E-02
7.38E-01,4.74E-02
7.20E-01,4.93E-02
7.03E-01,5.09E-02
6.86E-01,5.25E-02
6.69E-01,5.39E-02
6.52E-01,5.53E-02
6.35E-01,5.67E-02
6.18E-01,5.80E-02
6.00E-01,5.93E-02
5.83E-01,6.05E-02
5.66E-01,6.16E-02
5.49E-01,6.27E-02
5.32E-01,6.38E-02
5.15E-01,6.47E-02
4.98E-01,6.57E-02
4.81E-01,6.65E-02
4.63E-01,6.73E-02
4.46E-01,6.82E-02
4.29E-01,6.90E-02
4.12E-01,6.98E-02
3.95E-01,7.06E-02
3.78E-01,7.14E-02
3.60E-01,7.22E-02
3.43E-01,7.29E-02
3.26E-01,7.37E-02
3.09E-01,7.43E-02
2.92E-01,7.49E-02
2.75E-01,7.54E-02
2.57E-01,7.57E-02
2.40E-01,7.58E-02
2.23E-01,7.55E-02
2.06E-01,7.47E-02
1.89E-01,7.32E-02
1.73E-01,7.10E-02
1.56E-01,6.83E-02
1.39E-01,6.51E-02
1.22E-01,6.13E-02
1.06E-01,5.69E-02
8.98E-02,5.19E-02
7.39E-02,4.61E-02
5.82E-02,3.96E-02
4.30E-02,3.22E-02
2.83E-02,2.39E-02
1.43E-02,1.44E-02
2.33E-03,4.44E-03
1.46E-04,9.19E-04
4.93E-04,-1.36E-03
3.33E-03,-2.80E-03
8.26E-03,-3.21E-03
1.95E-02,-2.91E-03
2.39E-02,-2.80E-03
2.95E-02,-2.66E-03
3.27E-02,-2.58E-03
3.50E-02,-2.52E-03
3.83E-02,-2.44E-03
0.0407705,-0.0023834
0.0432997,-0.0023236
0.0463782,-0.0022518
0.0483671,-0.0022059
0.0507366,-0.0021517
0.0598473,-0.0019484
0.0621731,-0.0018978
0.0683899,-0.0017651
0.0770811,-0.0015856
0.0873175,-0.0013829
0.0985862,-0.0011704
0.1106074,-0.0009556
0.1232464,-0.0007422
0.1364751,-0.0005321
0.1503734,-0.000325
0.1651857,-0.0001189
0.1815195,0.0000921
0.2011963,0.0003255
0.2340491,0.0006702
0.2606267,0.0009134
0.2743528,0.0010274
0.2835381,0.0010995
0.2891856,0.0011423
0.2972335,0.001201
0.3073866,0.0012718
0.3190657,0.0013486
0.3320148,0.0014282
0.3462119,0.0015092
0.3618949,0.0015914
0.3797694,0.0016762
0.4019039,0.0017691
0.4326315,0.0018781
0.4537193,0.0019404
0.4673893,0.0019753
0.47809,0.0019996
0.4859529,0.0020158
0.4920487,0.0020274
0.4992984,0.0020401
0.5076465,0.0020532
0.5168329,0.0020658
0.5266668,0.0020771
0.5370063,0.0020866
0.5477451,0.0020938
0.5588028,0.0020986
0.5701179,0.0021005
0.5816432,0.0020995
0.5933419,0.0020953
0.605185,0.0020879
0.6171494,0.0020771
0.6292169,0.0020629
0.6413725,0.0020453
0.653604,0.0020241
0.6659016,0.0019993
0.678257,0.001971
0.6906634,0.001939
0.7031152,0.0019033
0.7156076,0.0018639
0.7281368,0.0018209
0.7406994,0.0017741
0.7532929,0.0017235
0.7659151,0.0016692
0.7785644,0.0016111
0.7912395,0.0015492
0.8039397,0.0014835
0.816665,0.001414
0.8294155,0.0013406
0.8421925,0.0012633
0.8549978,0.0011821
0.8678346,0.0010969
0.8807078,0.0010076
0.8936246,0.0009143
0.9065965,0.0008167
0.9196414,0.0007146
0.9327892,0.0006078
0.946093,0.0004957
0.9596575,0.0003773
0.973724,0.00025
0.9891619,0.000105
1,0
