r/R,Contour file,Aero file
0.197,Jack_rotor_section_3_airfoil.csv,dji9443-sec4-Re41039-smooth00.csv
0.2462,Jack_rotor_section_4_airfoil.csv,dji9443-sec5-Re44913-smooth00.csv
0.2954,Jack_rotor_section_5_airfoil.csv,dji9443-sec6-Re42526-smooth01.csv
0.3447,Jack_rotor_section_6_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.3939,Jack_rotor_section_7_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.4432,Jack_rotor_section_8_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.4924,Jack_rotor_section_9_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.5416,Jack_rotor_section_10_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.5909,Jack_rotor_section_11_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.6401,Jack_rotor_section_12_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.6894,Jack_rotor_section_13_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.7386,Jack_rotor_section_14_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.7878,Jack_rotor_section_15_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.8371,Jack_rotor_section_16_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.8863,Jack_rotor_section_17_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.9356,Jack_rotor_section_18_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
0.9848,Jack_rotor_section_19_airfoil.csv,dji9443-sec7-Re22978-smooth01.csv
